item_id,title,call_number,contributors,date_extracted,notes,language,source_file,date,source_url,phys_format,dig_format,rights,image_url,subject_headings
afc2001001.05208,Franklin E. Kameny Collection,,"[{'american veterans for equal rights (aver)': 'https://www.loc.gov/search/?fa=contributor:american+veterans+for+equal+rights+%28aver%29&fo=json'}, {'ballard, lara': 'https://www.loc.gov/search/?fa=contributor:ballard,+lara&fo=json'}, {'kameny, franklin e.': 'https://www.loc.gov/search/?fa=contributor:kameny,+franklin+e.&fo=json'}, {'westbrook, joel': 'https://www.loc.gov/search/?fa=contributor:westbrook,+joel&fo=json'}]",,,['english'],data/ftu_libs_metadata/item_metadata-afc2001001.05208.json,1943,https://www.loc.gov/item/afc2001001.05208/,"{'film, video': 'https://www.loc.gov/search/?fa=original_format:film,+video&fo=json'}",Image,Undetermined,Did not identify a URL.,"['Kameny, Franklin E.', 'World War, 1939-1945 -- Personal Narratives', 'United States. Army.']"
2018711983,"Acosta, Mercedes Hede de, portrait photograph",LC-G401- 3122-C-010 [P&P],"[{'genthe, arnold': 'https://www.loc.gov/search/?fa=contributor:genthe,+arnold&fo=json'}]",,"['Address: 850 Park Ave., New York City.', 'Address: 134 E. 47th St., New York City.', ""Title devised from Genthe's records."", 'Credit line: Genthe photograph collection, Library of Congress, Prints and Photographs Division.', 'General information about the Genthe photograph collection is available at:  https://hdl.loc.gov/loc.pnp/pp.agc', 'Forms part of: Genthe photograph collection (Library of Congress)', 'Purchase; Genthe Estate; 1942 or 1943.', 'Temp. note: Batch two.', '1933; NY 2r; NY 3r; RR card']",['english'],data/ftu_libs_metadata/item_metadata-agc.7a08462.json,1919-01-01,https://www.loc.gov/item/2018711983/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions on publication. For information, see ""Genthe photograph collection"" https://hdl.loc.gov/loc.pnp/res.073.agc",Did not identify a URL.,"['Acosta, Mercedes de,--1893-1968']"
2018704273,Portrait photograph of Edna St. Vincent Millay,LC-G4085- 0362 [P&P],"[{'genthe, arnold': 'https://www.loc.gov/search/?fa=contributor:genthe,+arnold&fo=json'}]",,"['Title devised.', 'Credit line: Genthe photograph collection, Library of Congress, Prints and Photographs Division.', 'General information about the Genthe photograph collection is available at: https://hdl.loc.gov/loc.pnp/pp.agc', 'Forms part of: Genthe photograph collection (Library of Congress)', 'Purchase; Genthe Estate; 1942 or 1943.', 'Temp. note: Batch one.', 'ID: LC-G432-0755-A; 1914']",['english'],data/ftu_libs_metadata/item_metadata-agc.7a10216.json,1914-01-01,https://www.loc.gov/item/2018704273/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions on publication. For information, see: ""Genthe photograph collection"" https://hdl.loc.gov/loc.pnp/res.073.agc",https://tile.loc.gov/storage-services/service/pnp/agc/7a10000/7a10200/7a10216v.jpg#h=1024&w=863,"['Millay, Edna St. Vincent,--1892-1950']"
2005684835,"[Mary Edwards Walker, 1832-1919, full length portrait, standing, facing slightly right; holding umbrella; in top hat and tails. 1st woman Army medical officer (Civil War); suffragette and dress reformer]",BIOG FILE [item] [P&P],,,"['This record contains unverified, old data from caption card.', 'Caption card tracings: CW Doctors; Civil War Women; Women physicians; BI; Woman Rights...; Fashions; Shelf.']",['english'],data/ftu_libs_metadata/item_metadata-cph.3b10391.json,1912-01-01,https://www.loc.gov/item/2005684835/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,Did not identify a URL.,
2001704052,Natalie Clifford Barney,LOT 11735 [item] [P&P],"[{'johnston, frances benjamin': 'https://www.loc.gov/search/?fa=contributor:johnston,+frances+benjamin&fo=json'}]",,"['Title and other information transcribed from caption card and item.', 'Frances Benjamin Johnston Collection (Library of Congress).', 'No. 632.', 'Caption card tracings: BI; Ph. Ind.;  Shelf.']",['english'],data/ftu_libs_metadata/item_metadata-cph.3b24474.json,1890-01-01,https://www.loc.gov/item/2001704052/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on reproduction.,Did not identify a URL.,
2007680346,"[Charlotte Cushman, three-quarter length portrait, facing right]",AMB/TIN no. 5317 [P&P],,,"['Title devised by Library staff.', 'Case: Leather; grape medallion design.', 'Purchase; 2006; (DLC/PP-2006:113).', 'Forms part of: Ambrotype/Tintype photograph filing series (Library of Congress).']",['english'],data/ftu_libs_metadata/item_metadata-cph.3g13411.json,1859-01-01,https://www.loc.gov/item/2007680346/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,https://tile.loc.gov/storage-services/service/pnp/cph/3g10000/3g13000/3g13400/3g13411v.jpg#h=1024&w=821,"['Cushman, Charlotte,--1816-1876', 'Actresses--American--1850-1860']"
gottlieb.08211,"[Portrait of Billy Strayhorn, New York, N.Y., between 1946 and 1948]",,"[{'gottlieb, william p.': 'https://www.loc.gov/search/?fa=contributor:gottlieb,+william+p.&fo=json'}]",,"['Reference print available in Music Division, Library of Congress.', 'Purchase William P. Gottlieb', 'Forms part of: William P. Gottlieb Collection (Library of Congress).', 'General information about the Gottlieb Collection is available at', 'Gottlieb Collection Assignment No. 476 (gottlieb assignment)', '476 (assignment)', 'LC-GLB13-0821 DLC (stock number)', 'got99000821 (got)', 'http://hdl.loc.gov/loc.music/gottlieb.08211 (url)', 'http://hdl.loc.gov/loc.music/gottlieb.08213 (url)']",['english'],data/ftu_libs_metadata/item_metadata-gottlieb.08211.0.json,1946-01-01,https://www.loc.gov/item/gottlieb.08211/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,Undetermined,https://tile.loc.gov/image-services/iiif/service:music:musgottlieb:musgottlieb-08211:ver01:0001/full/pct:25.0/0/default.jpg#h=1286&w=1003,"['Strayhorn, Billy', 'Jazz musicians -- 1940-1950', 'Composers -- 1940-1950', 'Pianists -- 1940-1950']"
2020731197,"Keith Haring, painting Palladium backdrop [Palladium night club, New York City]",LC-GB05-  1656 [P&P],"[{'gotfryd, bernard': 'https://www.loc.gov/search/?fa=contributor:gotfryd,+bernard&fo=json'}]",,"['Title based on information from slide mount and other caption information provided by the photographer.', 'Photo agency: Woodfin Camp & Assoc., 116 East 27th Street, New York.', 'On mount: VF 6854.', 'Gotfryd set no.: E-364-012-AP.', 'Gift; Bernard Gotfryd; 2004; (DLC/PP-2004:032).']",['english'],data/ftu_libs_metadata/item_metadata-gtfy.01656.json,1985,https://www.loc.gov/item/2020731197/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions on publication. For information see ""Bernard Gotfryd,""  https://hdl.loc.gov/loc.pnp/res.592.gotf",Did not identify a URL.,"['United States--New York (State)--New York', 'Night clubs', 'Frescoes', 'Palladium', 'Personalities']"
2020733190,"Dr. Oliver Sacks, Physician/Author",LC-GB05-  3649 [P&P],"[{'gotfryd, bernard': 'https://www.loc.gov/search/?fa=contributor:gotfryd,+bernard&fo=json'}]",,"['Title from slide mount and other caption information provided by the photographer.', 'Photo agency: Woodfin Camp & Assoc. 116 East 27th Street,  New York.', 'Gotfryd set no.:  H-852-002-A.', 'Gift; Bernard Gotfryd; 2004; (DLC/PP-2004:032).']",['english'],data/ftu_libs_metadata/item_metadata-gtfy.03649.json,1985,https://www.loc.gov/item/2020733190/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,"No known restrictions on publication. For information see ""Bernard Gotfryd,""  https://hdl.loc.gov/loc.pnp/res.592.gotf",Did not identify a URL.,"['Authors', 'Personalities']"
2011631696,"AIDS quilt, Washington, D.C.",LC-HS503- 2457 (ONLINE) [P&P],"[{'highsmith, carol m.': 'https://www.loc.gov/search/?fa=contributor:highsmith,+carol+m.&fo=json'}]",,"['Digital image produced by Carol M. Highsmith to represent her original film transparency; some details may differ between the film and the digital images.', 'In June of 1987, a small group of strangers gathered in a San Francisco storefront to document the lives they feared history would neglect. Their goal was to create a memorial for those who had died of AIDS, and to thereby help people understand the devastation.', 'Title, date, subject note, and keywords provided by the photographer.', 'Credit line: Photographs in the Carol M. Highsmith Archive, Library of Congress, Prints and Photographs Division.', 'Gift and purchase; Carol M. Highsmith; 2011; (DLC/PP-2011:124).', 'Forms part of the Selects Series in the Carol M. Highsmith Archive.']",['english'],data/ftu_libs_metadata/item_metadata-highsm.13502.json,1980-01-01,https://www.loc.gov/item/2011631696/,"{'photo, print, drawing': 'https://www.loc.gov/search/?fa=original_format:photo,+print,+drawing&fo=json'}",Image,No known restrictions on publication.,Did not identify a URL.,"['United States--District of Columbia--Washington (D.C.)', 'Aids quilt', 'America']"
